gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
-0.12585313941113868,"[(0, 2); (1, 244); (2, 1912)]",0.75,-0.03,-0.68,0.63,-0.63,-0.62,-0.02,5,10,3
0,"[(2, 2158)]",0.8300000000000001,0,-0.8,0.74,-0.43,-0.9500000000000001,-0.05,4,30,10
-0.08483433841787869,"[(0, 2); (1, 7); (2, 2149)]",0.81,0,-0.7000000000000001,0.81,-0.68,-0.81,0,6,30,10
-3.363541681447322,"[(0, 229); (1, 1601); (2, 328)]",0.66,-0.16,-0.77,0.71,-0.84,-0.6900000000000001,-0.08,1,10,3
0,"[(1, 41); (2, 2117)]",0.67,0,-0.93,0.74,-0.14,-0.88,-0.02,6,10,3
0,"[(1, 1100); (2, 1058)]",0.64,-0.18,-1,0.66,-0.32,-0.87,-0.1,1,10,3
-0.021350759448957965,"[(0, 1); (1, 2156); (2, 1)]",1,-0.01,-0.89,0.6,-1,-0.77,-0.05,1,50,16
0,"[(1, 35); (2, 2123)]",0.8,-0.11,-0.99,0.78,-0.09,-0.79,-0.01,4,10,3
0,"[(2, 2158)]",0.71,-0.03,-0.88,0.7000000000000001,-0.22,-0.93,-0.01,4,20,6
0.5118027669386307,"[(0, 1232); (1, 49); (2, 877)]",0.74,0,-0.87,0.86,-0.08,-0.9,-0.02,4,30,10
0,"[(2, 2158)]",0.6,-0.21,-0.73,0.92,-0.81,-1,0,1,30,10
-0.11000496630010641,"[(0, 5); (1, 37); (2, 2116)]",0.76,-0.29,-0.77,0.8,-0.1,-0.9400000000000001,-0.01,2,20,6
-0.21907768712309328,"[(0, 9); (1, 77); (2, 2072)]",0.81,-0.05,-0.86,0.8,-0.06,-0.88,-0.05,4,20,6
-4.192307910606598,"[(0, 296); (1, 1862)]",0.61,-0.07,-0.8300000000000001,1,-1,-0.81,-0.06,2,20,6
-1.8421170627882226,"[(0, 161); (1, 330); (2, 1667)]",0.66,-0.06,-0.84,0.88,-0.07,-0.9500000000000001,-0.01,4,30,10
0,"[(1, 112); (2, 2046)]",1,-0.14,-0.84,0.81,-0.79,-0.93,-0.09,6,50,16
-0.19763604114934372,"[(0, 66); (1, 235); (2, 1857)]",1,-0.11,-1,0.85,-0.9,-0.6,-0.07,1,10,3
-4.435388202048746,"[(0, 1551); (1, 572); (2, 35)]",0.76,-0.29,-0.8200000000000001,0.91,-0.36,-0.9500000000000001,-0.03,4,40,13
0,"[(1, 169); (2, 1989)]",0.85,-0.09,-0.81,0.71,-0.29,-0.77,-0.02,4,30,10
0.8317513246202756,"[(0, 7); (2, 2151)]",0.87,-0.01,-0.73,0.76,-1,-0.87,0,4,50,16
-0.05105616389968209,"[(0, 1); (1, 66); (2, 2091)]",0.74,-0.22,-0.91,0.67,0,-1,-0.05,5,50,16
0.009322454771195459,"[(0, 2); (1, 111); (2, 2045)]",0.77,-0.02,-0.8,0.8300000000000001,-0.62,-0.84,-0.03,3,20,6
-0.6339269244412913,"[(0, 5); (1, 39); (2, 2114)]",0.72,-0.07,-0.6,0.66,-0.86,-1,-0.03,4,10,3
-4.058064561901383,"[(0, 1878); (1, 280)]",0.97,0,-0.8200000000000001,0.89,-1,-0.88,-0.02,1,20,6
-1.4305008830801835,"[(0, 675); (1, 147); (2, 1336)]",1,-0.1,-0.8,0.6,-1,-1,0,3,40,13
0,"[(1, 16); (2, 2142)]",0.75,-0.04,-0.86,0.84,-0.13,-0.8300000000000001,-0.02,5,30,10
0,"[(1, 76); (2, 2082)]",0.77,-0.15,-0.92,0.88,-0.09,-0.91,-0.04,2,30,10
0,"[(1, 1919); (2, 239)]",0.7000000000000001,-0.27,-0.98,0.74,-0.45,-0.97,-0.1,1,30,10
0,"[(1, 1); (2, 2157)]",0.85,-0.3,-0.8,0.68,-0.44,-1,-0.03,3,30,10
-1.956783256473927,"[(0, 188); (1, 1907); (2, 63)]",0.6,-0.25,-0.8200000000000001,0.84,0,-0.66,-0.05,2,20,6
0.013983682156793189,"[(0, 3); (1, 67); (2, 2088)]",0.85,0,-0.76,0.6,-0.21,-0.6,-0.01,6,20,6
-0.10118403391027905,"[(0, 16); (1, 52); (2, 2090)]",0.86,-0.16,-0.64,0.89,-0.07,-0.89,-0.03,4,40,13
0.8474111387016672,"[(0, 1611); (2, 547)]",0.77,-0.14,-0.92,0.89,-0.08,-0.91,-0.04,1,20,6
0,"[(1, 15); (2, 2143)]",0.6,-0.05,-0.99,0.6,-0.21,-0.6,-0.04,3,30,10
-0.09042781128059596,"[(0, 25); (1, 34); (2, 2099)]",0.78,-0.11,-0.73,0.7000000000000001,-0.63,-0.72,-0.03,3,30,10
0,"[(2, 2158)]",1,-0.2,-0.71,1,-0.72,-1,0,4,20,6
-0.12253479335923702,"[(0, 3); (1, 64); (2, 2091)]",0.98,-0.26,-0.68,0.93,-0.5700000000000001,-1,0,4,40,13
0,"[(1, 6); (2, 2152)]",0.73,-0.05,-0.86,0.8,-0.19,-0.78,-0.02,4,10,3
0,"[(1, 74); (2, 2084)]",0.76,0,-0.86,0.87,-0.1,-0.96,-0.03,5,40,13
0,"[(1, 56); (2, 2102)]",0.8200000000000001,-0.23,-0.74,0.97,-0.1,-0.87,-0.03,3,20,6
0,"[(1, 3); (2, 2155)]",0.87,-0.01,-0.73,0.76,-1,-0.87,0,4,50,16
0,"[(1, 1); (2, 2157)]",0.77,-0.02,-0.8,0.8300000000000001,-0.62,-0.84,-0.03,3,20,6
-0.15688166725538677,"[(0, 6); (1, 121); (2, 2031)]",1,-0.14,-0.84,0.81,-0.79,-0.93,-0.09,6,50,16
-6.321681384669729,"[(0, 473); (1, 1647); (2, 38)]",0.87,-0.01,-0.73,0.76,-1,-0.87,0,4,50,16
