gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
-0.16561759987777863,"[(0, 3); (1, 29); (2, 8606)]",0.6900000000000001,-0.15,-0.9400000000000001,0.84,-0.43,-0.72,-0.07,3,20,6
-0.7054306011763807,"[(0, 188); (1, 226); (2, 8224)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
-0.004215720724161637,"[(0, 7); (1, 14); (2, 8617)]",1,-0.3,-0.98,0.99,-0.63,-0.96,-0.05,4,10,3
0,"[(1, 4); (2, 8634)]",0.9,-0.03,-0.93,0.72,-0.4,-0.61,0,3,40,13
0,"[(1, 60); (2, 8578)]",0.71,-0.3,-0.86,0.62,-0.09,-0.65,-0.04,2,50,16
-0.07949644794133374,"[(0, 35); (1, 136); (2, 8467)]",0.77,-0.17,-0.91,0.79,-0.43,-0.8300000000000001,-0.05,4,10,3
-0.05580811244366358,"[(0, 20); (1, 106); (2, 8512)]",0.64,-0.21,-0.66,0.76,-0.36,-0.6,-0.04,2,20,6
0,"[(1, 9); (2, 8629)]",1,-0.17,-1,0.9,-0.15,-1,-0.1,1,50,16
-0.05259613474906424,"[(0, 9); (1, 76); (2, 8553)]",0.8300000000000001,-0.15,-0.98,0.74,-0.2,-0.74,-0.09,3,10,3
0,"[(2, 8638)]",0.64,-0.13,-0.76,0.67,-0.19,-0.85,-0.01,1,20,6
-0.019271866167596054,"[(0, 11); (1, 15); (2, 8612)]",0.8,-0.05,-0.75,0.6,-0.21,-1,-0.02,6,20,6
0,"[(2, 8638)]",0.7000000000000001,-0.16,-0.97,0.87,-0.97,-0.8,0,2,20,6
-0.021279352226720647,"[(0, 8); (1, 8); (2, 8622)]",1,-0.23,-0.84,0.6,-0.27,-0.7000000000000001,-0.06,1,10,3
-0.011844167748835076,"[(0, 13); (1, 142); (2, 8483)]",0.6900000000000001,-0.13,-0.91,0.75,-0.3,-0.65,-0.07,4,10,3
0,"[(1, 10); (2, 8628)]",0.91,-0.03,-0.92,0.72,-0.42,-0.6,0,4,30,10
0,"[(2, 8638)]",0.91,-0.03,-0.93,0.73,-0.4,-0.61,0,4,40,13
-0.17304529829653958,"[(0, 7); (1, 5); (2, 8626)]",0.6,-0.27,-0.75,0.79,-0.35000000000000003,-0.8,-0.06,4,10,3
-0.0016059888472996714,"[(0, 1); (1, 31); (2, 8606)]",1,-0.11,-0.84,0.62,-0.15,-0.6,-0.03,7,20,6
0.014052402413872124,"[(0, 81); (1, 57); (2, 8500)]",0.7000000000000001,-0.16,-0.98,0.71,-0.26,-0.74,-0.08,2,10,3
-0.27141211519364444,"[(0, 118); (1, 257); (2, 8263)]",0.63,-0.17,-0.91,0.6,-0.01,-0.75,-0.06,4,10,3
0,"[(1, 4); (2, 8634)]",0.89,-0.15,-0.89,0.62,-0.1,-0.89,-0.01,5,30,10
0,"[(1, 9); (2, 8629)]",0.92,0,-0.91,0.79,0,-0.77,0,2,30,10
-0.013650905202047207,"[(0, 2); (1, 133); (2, 8503)]",0.71,-0.3,-0.86,0.62,-0.09,-0.65,-0.04,2,50,16
-0.011643419142922617,"[(0, 1); (1, 330); (2, 8307)]",1,-0.17,-1,0.9,-0.15,-1,-0.1,1,50,16
0,"[(1, 2); (2, 8636)]",0.89,-0.15,-0.89,0.62,-0.1,-0.89,-0.01,5,30,10
-0.14855396837521959,"[(0, 7); (1, 2); (2, 8629)]",1,-0.15,-1,0.63,-1,-1,-0.03,1,10,3
-0.007026201206936062,"[(0, 7); (1, 54); (2, 8577)]",0.7000000000000001,-0.16,-0.98,0.71,-0.26,-0.74,-0.08,2,10,3
-0.07668596745855931,"[(0, 30); (1, 168); (2, 8440)]",0.6,-0.17,-0.92,0.68,-0.29,-0.74,-0.07,4,10,3
-0.01706363150255901,"[(0, 2); (1, 48); (2, 8588)]",0.65,-0.07,-1,0.6,-0.37,-1,-0.04,1,30,10
0,"[(1, 9); (2, 8629)]",0.9,-0.03,-0.93,0.72,-0.4,-0.61,0,3,40,13
0,"[(1, 3); (2, 8635)]",0.9,-0.03,-0.93,0.72,-0.4,-0.61,0,3,40,13
-0.06444030249789931,"[(0, 28); (1, 100); (2, 8510)]",0.6,-0.15,-1,0.8200000000000001,-0.36,-0.86,-0.08,1,10,3
-0.05661110686731342,"[(0, 14); (1, 30); (2, 8594)]",1,-0.23,-1,0.9500000000000001,-0.13,-0.88,-0.09,1,50,16
0,"[(2, 8638)]",1,0,-0.74,0.79,-0.68,-0.92,0,3,30,10
-1.2990442288595216,"[(0, 440); (1, 1124); (2, 7074)]",0.6,-0.3,-0.71,0.87,-0.35000000000000003,-0.8,-0.1,5,10,3
0.041956458635703915,"[(0, 16); (1, 183); (2, 8439)]",0.6900000000000001,-0.16,-0.91,0.8300000000000001,-0.3,-0.6,-0.06,5,10,3
-0.02609731876861966,"[(0, 13); (1, 97); (2, 8528)]",0.6,-0.15,-0.84,0.6,0,-0.66,-0.02,7,10,3
-1.0123752196165303,"[(0, 276); (1, 1249); (2, 7113)]",0.77,-0.2,-1,1,-0.36,-0.66,-0.1,5,10,3
0,"[(1, 34); (2, 8604)]",1,-0.3,-1,1,-0.84,-0.73,0,1,20,6
-0.08250767703002061,"[(0, 17); (1, 247); (2, 8374)]",0.6,-0.17,-1,0.9,-0.36,-1,-0.1,1,30,10
-0.41775784890382706,"[(0, 123); (1, 261); (2, 8254)]",0.73,-0.19,-0.86,0.89,-0.16,-0.77,-0.07,4,10,3
-0.020677106408983268,"[(0, 16); (1, 164); (2, 8458)]",0.9400000000000001,-0.3,-0.86,0.99,0,-0.84,0,6,10,3
-0.03753998930562982,"[(0, 28); (1, 201); (2, 8409)]",0.7000000000000001,-0.18,-0.84,0.84,-0.29,-0.68,-0.08,2,10,3
0,"[(1, 36); (2, 8602)]",1,-0.05,-0.87,0.61,-0.48,-0.74,-0.05,7,50,16
-0.007026201206936062,"[(0, 7); (1, 48); (2, 8583)]",0.62,-0.21,-0.84,0.78,-0.31,-0.73,-0.07,4,10,3
0,"[(1, 2); (2, 8636)]",0.7000000000000001,-0.13,-0.91,0.63,-0.35000000000000003,-0.8200000000000001,0,2,30,10
0,"[(2, 8638)]",0.89,-0.15,-0.89,0.62,-0.1,-0.89,-0.01,5,30,10
-0.21580475135589333,"[(0, 75); (1, 228); (2, 8335)]",0.6900000000000001,-0.17,-0.92,0.8300000000000001,-0.34,-0.72,-0.09,5,10,3
-0.0046172179359865555,"[(0, 1); (1, 1); (2, 8636)]",1,-0.13,-0.9,0.6,-0.14,-0.85,0,7,40,13
0.013650905202047207,"[(0, 15); (1, 162); (2, 8461)]",0.72,-0.08,-0.9,0.87,-0.34,-0.72,-0.07,4,10,3
-0.07467848139943471,"[(0, 7); (1, 39); (2, 8592)]",0.74,-0.17,-1,0.9,-0.2,-1,-0.1,1,10,3
0,"[(1, 5); (2, 8633)]",0.92,0,-0.91,0.79,0,-0.77,0,2,30,10
0.07588297303490947,"[(0, 1); (1, 6); (2, 8631)]",0.92,-0.03,-0.8,0.74,-0.77,-0.76,0,1,50,16
-0.10017355435031701,"[(0, 36); (1, 385); (2, 8217)]",0.79,-0.17,-0.9500000000000001,0.9400000000000001,-0.48,-0.73,-0.08,4,10,3
-0.013650905202047207,"[(0, 9); (1, 50); (2, 8579)]",0.71,-0.3,-0.86,0.62,-0.09,-0.65,-0.04,2,50,16
-0.01666213429073409,"[(0, 11); (1, 11); (2, 8616)]",0.79,-0.04,-0.74,0.6,-0.19,-1,-0.01,6,10,3
0,"[(1, 68); (2, 8570)]",0.75,0,-0.79,0.7000000000000001,0,-0.6,0,6,30,10
0,"[(1, 30); (2, 8608)]",1,-0.17,-1,0.9,-0.15,-1,-0.1,1,50,16
0,"[(1, 32); (2, 8606)]",0.8300000000000001,-0.23,-1,0.66,-0.33,-0.77,-0.02,7,50,16
-0.031517531128256046,"[(0, 17); (1, 90); (2, 8531)]",0.64,-0.16,-0.81,0.72,-0.26,-0.78,-0.08,1,10,3
-0.0046172179359865555,"[(0, 11); (1, 21); (2, 8606)]",1,0,-0.85,0.63,-0.44,-0.6,-0.05,1,50,16
-0.07146650370483537,"[(0, 22); (1, 58); (2, 8558)]",0.71,-0.16,-0.96,0.78,-0.24,-0.73,-0.1,3,10,3
0.00562096096554885,"[(0, 8); (1, 96); (2, 8534)]",0.6900000000000001,-0.12,-0.9,0.74,-0.29,-0.65,-0.06,4,10,3
0.09716232526163011,"[(0, 3); (1, 14); (2, 8621)]",0.86,-0.07,-0.92,0.8,-0.39,-0.72,-0.04,4,20,6
0.0022082346650370483,"[(0, 1); (1, 58); (2, 8579)]",0.89,-0.12,-0.99,0.77,-0.38,-0.61,-0.07,4,20,6
-0.0776897104881216,"[(0, 8); (1, 41); (2, 8589)]",0.87,-0.19,-0.88,0.73,-0.3,-0.72,-0.08,4,10,3
-0.38041860820410967,"[(0, 516); (1, 168); (2, 7954)]",1,-0.15,-1,0.63,-1,-1,-0.03,1,10,3
0,"[(1, 8); (2, 8630)]",0.98,0,-0.86,0.61,-1,-0.6,0,5,20,6
0.014253151019784584,"[(0, 2); (2, 8636)]",0.6,-0.17,-1,0.9,-0.18,-1,-0.1,1,20,6
-0.008431441448323274,"[(0, 7); (1, 9); (2, 8622)]",1,-0.15,-0.99,0.62,-1,-1,-0.03,1,10,3
-0.0038142235123367198,"[(0, 8); (1, 60); (2, 8570)]",0.67,-0.05,-0.64,0.6,0,-0.65,0,2,10,3
0,"[(1, 2); (2, 8636)]",1,-0.21,-0.86,0.6,-0.49,-0.66,0,3,50,16
0,"[(1, 28); (2, 8610)]",0.91,-0.21,-1,0.6,-0.8,-0.79,-0.04,7,30,10
0,"[(1, 84); (2, 8554)]",0.86,-0.07,-0.92,0.8,-0.39,-0.72,-0.04,4,20,6
0,"[(2, 8638)]",0.92,-0.03,-0.8,0.74,-0.77,-0.76,0,1,50,16
